name,type,value
`SEQUENCE_ID <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_ID>`_,<class 'str'>,
`SEQUENCE_TEMPLATE <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_TEMPLATE>`_,<class 'str'>,
`SEQUENCE_INCLUDED_REGION <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_INCLUDED_REGION>`_,<class 'list'>,[]
`SEQUENCE_TARGET <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_TARGET>`_,<class 'list'>,[]
`SEQUENCE_EXCLUDED_REGION <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_EXCLUDED_REGION>`_,<class 'list'>,[]
`SEQUENCE_PRIMER_PAIR_OK_REGION_LIST <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_PRIMER_PAIR_OK_REGION_LIST>`_,<class 'list'>,[]
`SEQUENCE_OVERLAP_JUNCTION_LIST <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_OVERLAP_JUNCTION_LIST>`_,<class 'list'>,[]
`SEQUENCE_INTERNAL_EXCLUDED_REGION <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_INTERNAL_EXCLUDED_REGION>`_,<class 'list'>,[]
`SEQUENCE_PRIMER <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_PRIMER>`_,<class 'str'>,
`SEQUENCE_INTERNAL_OLIGO <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_INTERNAL_OLIGO>`_,<class 'str'>,
`SEQUENCE_PRIMER_REVCOMP <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_PRIMER_REVCOMP>`_,<class 'str'>,
`SEQUENCE_START_CODON_POSITION <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_START_CODON_POSITION>`_,<class 'int'>,-2000000
`SEQUENCE_QUALITY <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_QUALITY>`_,<class 'list'>,[]
`SEQUENCE_FORCE_LEFT_START <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_FORCE_LEFT_START>`_,<class 'int'>,-1000000
`SEQUENCE_FORCE_LEFT_END <http://primer3.ut.ee/primer3web_help.htm#SEQUENCE_FORCE_LEFT_END>`_,<class 'int'>,-1000000
